name,image,id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Pleasure x Newjack x Civilization (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,4qjaG01IhHt3ZdO1FVakbs,Justice,0.598,0.692,7,-5.911,1,0.0489,0.00666,0.000258,0.164,0.412,117.034,audio_features,spotify:track:4qjaG01IhHt3ZdO1FVakbs,https://api.spotify.com/v1/tracks/4qjaG01IhHt3ZdO1FVakbs,https://api.spotify.com/v1/audio-analysis/4qjaG01IhHt3ZdO1FVakbs,338491,4
Genesis x Phantom (WWW),https://i.scdn.co/image/ab67616d0000b27314a99b6cf89499f1c4ca200c,7GTZa1773faSYybRdGDIjk,Justice,0.541,0.767,9,-6.836,1,0.12,0.00409,0.605,0.104,0.258,117.056,audio_features,spotify:track:7GTZa1773faSYybRdGDIjk,https://api.spotify.com/v1/tracks/7GTZa1773faSYybRdGDIjk,https://api.spotify.com/v1/audio-analysis/7GTZa1773faSYybRdGDIjk,285097,4
Walcott,https://i.scdn.co/image/ab67616d0000b2737749a08ddab9edbe427e9876,4PnX4VMGqXclzeBvZcyABz,Vampire Weekend,0.398,0.56,5,-5.448,1,0.0312,0.512,0.0151,0.224,0.59,160.71,audio_features,spotify:track:4PnX4VMGqXclzeBvZcyABz,https://api.spotify.com/v1/tracks/4PnX4VMGqXclzeBvZcyABz,https://api.spotify.com/v1/audio-analysis/4PnX4VMGqXclzeBvZcyABz,221600,4
Heaven & Hell,https://i.scdn.co/image/ab67616d0000b2739266fa644911138d6a07a8d8,6mmi0wu2uGDWKeDx4ufLEj,El Michels Affair,0.587,0.598,6,-8.689,1,0.0226,0.00449,0.87,0.12,0.543,78.166,audio_features,spotify:track:6mmi0wu2uGDWKeDx4ufLEj,https://api.spotify.com/v1/tracks/6mmi0wu2uGDWKeDx4ufLEj,https://api.spotify.com/v1/audio-analysis/6mmi0wu2uGDWKeDx4ufLEj,129027,4
Helix - Gesaffelstein Vision Remix,https://i.scdn.co/image/ab67616d0000b273e280675c5eebe09f624411e2,7Crjmkp1INHKL6dY9ofSMe,Justice,0.829,0.516,1,-6.535,1,0.0553,0.00489,0.75,0.064,0.664,116.975,audio_features,spotify:track:7Crjmkp1INHKL6dY9ofSMe,https://api.spotify.com/v1/tracks/7Crjmkp1INHKL6dY9ofSMe,https://api.spotify.com/v1/audio-analysis/7Crjmkp1INHKL6dY9ofSMe,276961,4
LE Djoliba (feat. Cartier William),https://i.scdn.co/image/ab67616d0000b273a29bd588f4caf84bd4cd6f8b,0biLdTuAgLM40pKX4BN3GH,Westside Gunn,0.353,0.633,8,-6.753,0,0.0804,0.212,0.000194,0.687,0.391,149.565,audio_features,spotify:track:0biLdTuAgLM40pKX4BN3GH,https://api.spotify.com/v1/tracks/0biLdTuAgLM40pKX4BN3GH,https://api.spotify.com/v1/audio-analysis/0biLdTuAgLM40pKX4BN3GH,143368,3
Coming Back,https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1,2oZJ4OZOP7DHMdSrpx4fwq,Jungle,0.699,0.889,11,-6.076,1,0.11,0.0149,0.122,0.112,0.856,117.843,audio_features,spotify:track:2oZJ4OZOP7DHMdSrpx4fwq,https://api.spotify.com/v1/tracks/2oZJ4OZOP7DHMdSrpx4fwq,https://api.spotify.com/v1/audio-analysis/2oZJ4OZOP7DHMdSrpx4fwq,201984,4
red sky,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,4yLyVdEqV790aIXyGif85v,21 Savage,0.681,0.621,0,-8.202,0,0.0774,0.178,0.0,0.159,0.395,114.936,audio_features,spotify:track:4yLyVdEqV790aIXyGif85v,https://api.spotify.com/v1/tracks/4yLyVdEqV790aIXyGif85v,https://api.spotify.com/v1/audio-analysis/4yLyVdEqV790aIXyGif85v,176835,4
Daffodils (feat. Kevin Parker),https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,1v0ufp7FLTFcykUGOmFZKa,Mark Ronson,0.724,0.538,0,-8.041,1,0.0381,0.0408,0.0139,0.0343,0.282,108.945,audio_features,spotify:track:1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/tracks/1v0ufp7FLTFcykUGOmFZKa,https://api.spotify.com/v1/audio-analysis/1v0ufp7FLTFcykUGOmFZKa,298133,4
Titanic Risen,https://i.scdn.co/image/ab67616d0000b273defd2968783f9d721a7f10ec,4yS3DTFX0GPsY8RuksGMK3,Weyes Blood,0.128,0.254,0,-17.688,1,0.0312,0.894,0.573,0.102,0.0649,88.942,audio_features,spotify:track:4yS3DTFX0GPsY8RuksGMK3,https://api.spotify.com/v1/tracks/4yS3DTFX0GPsY8RuksGMK3,https://api.spotify.com/v1/audio-analysis/4yS3DTFX0GPsY8RuksGMK3,268215,1
Silver Soul,https://i.scdn.co/image/ab67616d0000b2739ba6a1b973e91955ab23c50c,2LZ2CNbcbJrwh53pitRgom,Beach House,0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032,audio_features,spotify:track:2LZ2CNbcbJrwh53pitRgom,https://api.spotify.com/v1/tracks/2LZ2CNbcbJrwh53pitRgom,https://api.spotify.com/v1/audio-analysis/2LZ2CNbcbJrwh53pitRgom,298680,4
Dead Living Things,https://i.scdn.co/image/ab67616d0000b2733f268650c100161ca2172fa8,2t0jE47aM5o0qibED5wHSy,Jackson And His Computer Band,0.397,0.6,8,-8.614,1,0.0314,5.93e-05,0.194,0.25,0.26,135.916,audio_features,spotify:track:2t0jE47aM5o0qibED5wHSy,https://api.spotify.com/v1/tracks/2t0jE47aM5o0qibED5wHSy,https://api.spotify.com/v1/audio-analysis/2t0jE47aM5o0qibED5wHSy,285042,4
Murder On The Dancefloor,https://i.scdn.co/image/ab67616d0000b273b736151ed1c04f2d41d5f69e,4tKGFmENO69tZR9ahgZu48,Sophie Ellis-Bextor,0.73,0.849,1,-5.281,0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,audio_features,spotify:track:4tKGFmENO69tZR9ahgZu48,https://api.spotify.com/v1/tracks/4tKGFmENO69tZR9ahgZu48,https://api.spotify.com/v1/audio-analysis/4tKGFmENO69tZR9ahgZu48,230013,4
Cousins,https://i.scdn.co/image/ab67616d0000b2736bdee14b4a54781336e9ea07,4tFOkEWNXiheSDnURpmGTp,Vampire Weekend,0.497,0.798,11,-5.132,1,0.209,0.00124,0.0,0.0707,0.831,176.112,audio_features,spotify:track:4tFOkEWNXiheSDnURpmGTp,https://api.spotify.com/v1/tracks/4tFOkEWNXiheSDnURpmGTp,https://api.spotify.com/v1/audio-analysis/4tFOkEWNXiheSDnURpmGTp,145267,4
Graze,https://i.scdn.co/image/ab67616d0000b273bf524f370e0e2c6a9fd8e364,4qCl01KlvP8OMrpJNpRDFB,Animal Collective,0.419,0.683,0,-8.966,1,0.0407,0.373,0.00624,0.861,0.144,120.066,audio_features,spotify:track:4qCl01KlvP8OMrpJNpRDFB,https://api.spotify.com/v1/tracks/4qCl01KlvP8OMrpJNpRDFB,https://api.spotify.com/v1/audio-analysis/4qCl01KlvP8OMrpJNpRDFB,322387,4
Gosh,https://i.scdn.co/image/ab67616d0000b2733b104b3cfcf52e380e90254d,79Jl8KMvmnXedTjjW6pJan,Jamie xx,0.752,0.459,10,-12.285,0,0.0692,0.017,0.784,0.0918,0.38,139.45,audio_features,spotify:track:79Jl8KMvmnXedTjjW6pJan,https://api.spotify.com/v1/tracks/79Jl8KMvmnXedTjjW6pJan,https://api.spotify.com/v1/audio-analysis/79Jl8KMvmnXedTjjW6pJan,291019,4
Be Above It,https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193,2Gl1Qdx5Px5kVYe0PQoGI0,Tame Impala,0.746,0.976,4,-6.073,0,0.0682,0.367,0.274,0.111,0.384,118.965,audio_features,spotify:track:2Gl1Qdx5Px5kVYe0PQoGI0,https://api.spotify.com/v1/tracks/2Gl1Qdx5Px5kVYe0PQoGI0,https://api.spotify.com/v1/audio-analysis/2Gl1Qdx5Px5kVYe0PQoGI0,201960,4
Pioneer Skies,https://i.scdn.co/image/ab67616d0000b273a84e1d8c3a99de8e2e1e6c1a,5QtnIL12NvXCb9FMEEgRnL,The Chemical Brothers,0.219,0.912,2,-4.959,1,0.0902,0.0759,0.67,0.34,0.0535,139.876,audio_features,spotify:track:5QtnIL12NvXCb9FMEEgRnL,https://api.spotify.com/v1/tracks/5QtnIL12NvXCb9FMEEgRnL,https://api.spotify.com/v1/audio-analysis/5QtnIL12NvXCb9FMEEgRnL,244533,4
Rocket Number 9 - Gesaffelstein Remix,https://i.scdn.co/image/ab67616d0000b27372d3966d9c5efe61565cc93c,2UVxQ7Xf18DaBDd571fJG7,Zombie Zombie,0.633,0.458,5,-9.101,0,0.127,0.000162,0.0865,0.0608,0.113,117.006,audio_features,spotify:track:2UVxQ7Xf18DaBDd571fJG7,https://api.spotify.com/v1/tracks/2UVxQ7Xf18DaBDd571fJG7,https://api.spotify.com/v1/audio-analysis/2UVxQ7Xf18DaBDd571fJG7,328994,4
Connect,https://i.scdn.co/image/ab67616d0000b2731f4e2d002b9d1920339a5109,3Oko2TgOzXPLlE2dbbsNKV,Vampire Weekend,0.401,0.661,10,-7.394,1,0.11,0.285,0.105,0.348,0.419,164.965,audio_features,spotify:track:3Oko2TgOzXPLlE2dbbsNKV,https://api.spotify.com/v1/tracks/3Oko2TgOzXPLlE2dbbsNKV,https://api.spotify.com/v1/audio-analysis/3Oko2TgOzXPLlE2dbbsNKV,310067,4
Tender,https://i.scdn.co/image/ab67616d0000b27394983882a5effd77742a9f52,42cxPm9jgbaxIVN77XA1m6,Blur,0.587,0.566,9,-9.932,1,0.0276,0.469,0.0,0.0644,0.528,76.055,audio_features,spotify:track:42cxPm9jgbaxIVN77XA1m6,https://api.spotify.com/v1/tracks/42cxPm9jgbaxIVN77XA1m6,https://api.spotify.com/v1/audio-analysis/42cxPm9jgbaxIVN77XA1m6,461947,4
Robert,https://i.scdn.co/image/ab67616d0000b27327a4be36e64eab051219ffbd,5y6eQbmPbxUIHFmUbWSCtj,Jockstrap,0.722,0.571,10,-7.658,1,0.301,0.0134,0.00059,0.119,0.428,88.007,audio_features,spotify:track:5y6eQbmPbxUIHFmUbWSCtj,https://api.spotify.com/v1/tracks/5y6eQbmPbxUIHFmUbWSCtj,https://api.spotify.com/v1/audio-analysis/5y6eQbmPbxUIHFmUbWSCtj,209867,4
Synrise - Soulwax Remix,https://i.scdn.co/image/ab67616d0000b27309334dd03935adc316f635e0,7CBfP01G2qOB9GFWAN7ocL,GOOSE,0.623,0.904,2,-4.712,1,0.0446,0.13,0.912,0.107,0.1,130.007,audio_features,spotify:track:7CBfP01G2qOB9GFWAN7ocL,https://api.spotify.com/v1/tracks/7CBfP01G2qOB9GFWAN7ocL,https://api.spotify.com/v1/audio-analysis/7CBfP01G2qOB9GFWAN7ocL,222270,4
Dumb Love,https://i.scdn.co/image/ab67616d0000b273374803ddd167e8493884ab05,2Al2n6ziP5XjIMZEL4laQj,NEIL FRANCES,0.736,0.872,5,-5.03,0,0.0558,0.211,0.0606,0.287,0.689,118.014,audio_features,spotify:track:2Al2n6ziP5XjIMZEL4laQj,https://api.spotify.com/v1/tracks/2Al2n6ziP5XjIMZEL4laQj,https://api.spotify.com/v1/audio-analysis/2Al2n6ziP5XjIMZEL4laQj,282729,4
Let There Be Lite - Live Version,https://i.scdn.co/image/ab67616d0000b273609c6159deccae5151b7dafa,1SRTIVBziMO3LpN55WKhXh,Justice,0.515,0.998,1,-2.189,1,0.156,0.0662,0.521,0.521,0.154,127.74,audio_features,spotify:track:1SRTIVBziMO3LpN55WKhXh,https://api.spotify.com/v1/tracks/1SRTIVBziMO3LpN55WKhXh,https://api.spotify.com/v1/audio-analysis/1SRTIVBziMO3LpN55WKhXh,205507,4
Big Blue,https://i.scdn.co/image/ab67616d0000b273a2b1d3e73c66663c01351bcf,3VORkvig6GJheAu4x3I3oC,Vampire Weekend,0.691,0.306,7,-9.65,1,0.0631,0.818,0.00798,0.0992,0.413,149.965,audio_features,spotify:track:3VORkvig6GJheAu4x3I3oC,https://api.spotify.com/v1/tracks/3VORkvig6GJheAu4x3I3oC,https://api.spotify.com/v1/audio-analysis/3VORkvig6GJheAu4x3I3oC,108573,5
Subways,https://i.scdn.co/image/ab67616d0000b27383cd9f1352bc315536480be6,1ZxakFiRaOFj6CDarCxozU,The Avalanches,0.485,0.874,5,-6.821,0,0.0827,0.181,0.0166,0.651,0.528,111.74,audio_features,spotify:track:1ZxakFiRaOFj6CDarCxozU,https://api.spotify.com/v1/tracks/1ZxakFiRaOFj6CDarCxozU,https://api.spotify.com/v1/audio-analysis/1ZxakFiRaOFj6CDarCxozU,190907,3
Two Weeks,https://i.scdn.co/image/ab67616d0000b273aaa83532a319c37f1fb4180c,04uR2cdkgiaLIzebPcs25m,Grizzly Bear,0.526,0.723,5,-5.59,1,0.0294,0.3,0.00698,0.058,0.744,159.685,audio_features,spotify:track:04uR2cdkgiaLIzebPcs25m,https://api.spotify.com/v1/tracks/04uR2cdkgiaLIzebPcs25m,https://api.spotify.com/v1/audio-analysis/04uR2cdkgiaLIzebPcs25m,246213,4
Everything In Its Right Place,https://i.scdn.co/image/ab67616d0000b2736c7112082b63beefffe40151,2kRFrWaLWiKq48YYVdGcm8,Radiohead,0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,audio_features,spotify:track:2kRFrWaLWiKq48YYVdGcm8,https://api.spotify.com/v1/tracks/2kRFrWaLWiKq48YYVdGcm8,https://api.spotify.com/v1/audio-analysis/2kRFrWaLWiKq48YYVdGcm8,251427,5
10AM/Save The World (feat. Gucci Mane),https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29,00KjOnN3U40e3lXFUOue7h,Metro Boomin,0.719,0.501,8,-8.84,0,0.239,0.257,0.0,0.189,0.419,136.025,audio_features,spotify:track:00KjOnN3U40e3lXFUOue7h,https://api.spotify.com/v1/tracks/00KjOnN3U40e3lXFUOue7h,https://api.spotify.com/v1/audio-analysis/00KjOnN3U40e3lXFUOue7h,226320,4
The Party,https://i.scdn.co/image/ab67616d0000b2731c0bcf8b536295438d26c70d,1z4835vzYgbtb26uRWpGhq,Justice,0.661,0.847,11,-7.343,1,0.0714,0.314,0.00473,0.806,0.455,119.99,audio_features,spotify:track:1z4835vzYgbtb26uRWpGhq,https://api.spotify.com/v1/tracks/1z4835vzYgbtb26uRWpGhq,https://api.spotify.com/v1/audio-analysis/1z4835vzYgbtb26uRWpGhq,243427,4
Yeah Right,https://i.scdn.co/image/ab67616d0000b27309e156b713cb9c4ae2f0e57c,661sHQm4m23eNk5ET2H3ko,Toro y Moi,0.38,0.601,6,-5.991,0,0.0301,0.181,0.502,0.0845,0.209,148.675,audio_features,spotify:track:661sHQm4m23eNk5ET2H3ko,https://api.spotify.com/v1/tracks/661sHQm4m23eNk5ET2H3ko,https://api.spotify.com/v1/audio-analysis/661sHQm4m23eNk5ET2H3ko,371770,4
"Fantasy in F minor, D. 940 (Op.103) for piano duet: Allegro molto moderato - Largo - Allegro vivace - Tempo I",https://i.scdn.co/image/ab67616d0000b27375c2ce01e8d4cac66d0a4ed8,7x6BnpJa7W53cIPQUABAe2,Franz Schubert,0.397,0.0833,1,-23.634,1,0.0374,0.993,0.887,0.092,0.131,107.872,audio_features,spotify:track:7x6BnpJa7W53cIPQUABAe2,https://api.spotify.com/v1/tracks/7x6BnpJa7W53cIPQUABAe2,https://api.spotify.com/v1/audio-analysis/7x6BnpJa7W53cIPQUABAe2,1148827,4
